,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
252,Volatility (21 days),Volatility (21 days),Next 10 days,2.3492926101816236,21,21,10,Long,Long
253,Volatility (63 days),Volatility (21 days),Next 10 days,2.7693752942018333,63,21,10,Long,Long
254,Volatility (126 days),Volatility (21 days),Next 10 days,2.8390832580296066,126,21,10,Long,Long
255,Volatility (252 days),Volatility (21 days),Next 10 days,2.9134842670579655,252,21,10,Long,Long
256,Volatility (2 days),Volatility (21 days),Next 21 days,0.06081961014382031,2,21,21,Short,Long
257,Volatility (3 days),Volatility (21 days),Next 21 days,0.2340713865163062,3,21,21,Short,Long
258,Volatility (5 days),Volatility (21 days),Next 21 days,0.2763485039522049,5,21,21,Short,Long
259,Volatility (10 days),Volatility (21 days),Next 21 days,1.1556068395998889,10,21,21,Short,Long
260,Volatility (21 days),Volatility (21 days),Next 21 days,2.7049064542469994,21,21,21,Long,Long
261,Volatility (63 days),Volatility (21 days),Next 21 days,3.0927697154595624,63,21,21,Long,Long
262,Volatility (126 days),Volatility (21 days),Next 21 days,3.2116930938826713,126,21,21,Long,Long
263,Volatility (252 days),Volatility (21 days),Next 21 days,3.2230807639446915,252,21,21,Long,Long
264,Volatility (2 days),Volatility (21 days),Next 63 days,0.034175646054412034,2,21,63,Short,Long
265,Volatility (3 days),Volatility (21 days),Next 63 days,0.17553241382138918,3,21,63,Short,Long
266,Volatility (5 days),Volatility (21 days),Next 63 days,0.2709883871557155,5,21,63,Short,Long
267,Volatility (10 days),Volatility (21 days),Next 63 days,0.8865326958795938,10,21,63,Short,Long
268,Volatility (21 days),Volatility (21 days),Next 63 days,2.27532490571701,21,21,63,Long,Long
269,Volatility (63 days),Volatility (21 days),Next 63 days,2.7509664194509234,63,21,63,Long,Long
270,Volatility (126 days),Volatility (21 days),Next 63 days,2.7673956977332717,126,21,63,Long,Long
271,Volatility (252 days),Volatility (21 days),Next 63 days,2.9285575661578274,252,21,63,Long,Long
272,Volatility (2 days),Volatility (21 days),Next 126 days,0.013831911121950036,2,21,126,Short,Long
273,Volatility (3 days),Volatility (21 days),Next 126 days,0.16827446171979066,3,21,126,Short,Long
274,Volatility (5 days),Volatility (21 days),Next 126 days,0.22862165559948266,5,21,126,Short,Long
275,Volatility (10 days),Volatility (21 days),Next 126 days,0.8139484892458739,10,21,126,Short,Long
276,Volatility (21 days),Volatility (21 days),Next 126 days,2.2115255786282493,21,21,126,Long,Long
277,Volatility (63 days),Volatility (21 days),Next 126 days,2.6191712758795784,63,21,126,Long,Long
278,Volatility (126 days),Volatility (21 days),Next 126 days,2.7650940683924605,126,21,126,Long,Long
279,Volatility (252 days),Volatility (21 days),Next 126 days,2.968867737261375,252,21,126,Long,Long
280,Volatility (2 days),Volatility (63 days),Next 1 days,0.08002141862273326,2,63,1,Short,Long
281,Volatility (3 days),Volatility (63 days),Next 1 days,0.30464615218857816,3,63,1,Short,Long
282,Volatility (5 days),Volatility (63 days),Next 1 days,0.43590267328495,5,63,1,Short,Long
283,Volatility (10 days),Volatility (63 days),Next 1 days,1.344292368007447,10,63,1,Short,Long
284,Volatility (21 days),Volatility (63 days),Next 1 days,3.0818057256441826,21,63,1,Long,Long
285,Volatility (63 days),Volatility (63 days),Next 1 days,4.757870031784035,63,63,1,Long,Long
286,Volatility (126 days),Volatility (63 days),Next 1 days,3.607595571122385,126,63,1,Long,Long
287,Volatility (252 days),Volatility (63 days),Next 1 days,3.617492051755531,252,63,1,Long,Long
288,Volatility (2 days),Volatility (63 days),Next 3 days,0.07373255497133435,2,63,3,Short,Long
