,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
156,Volatility (21 days),Volatility (5 days),Next 63 days,0.22349605052575416,21,5,63,Long,Short
157,Volatility (63 days),Volatility (5 days),Next 63 days,0.2825528530630175,63,5,63,Long,Short
158,Volatility (126 days),Volatility (5 days),Next 63 days,0.28532254294067183,126,5,63,Long,Short
159,Volatility (252 days),Volatility (5 days),Next 63 days,0.28095319182784007,252,5,63,Long,Short
160,Volatility (2 days),Volatility (5 days),Next 126 days,0.0226056934319514,2,5,126,Short,Short
161,Volatility (3 days),Volatility (5 days),Next 126 days,0.06115863682683376,3,5,126,Short,Short
162,Volatility (5 days),Volatility (5 days),Next 126 days,0.06930490082282503,5,5,126,Short,Short
163,Volatility (10 days),Volatility (5 days),Next 126 days,0.1505119190313442,10,5,126,Short,Short
164,Volatility (21 days),Volatility (5 days),Next 126 days,0.21438176334247405,21,5,126,Long,Short
165,Volatility (63 days),Volatility (5 days),Next 126 days,0.2534103601943585,63,5,126,Long,Short
166,Volatility (126 days),Volatility (5 days),Next 126 days,0.2654268101978765,126,5,126,Long,Short
167,Volatility (252 days),Volatility (5 days),Next 126 days,0.27345551871216944,252,5,126,Long,Short
168,Volatility (2 days),Volatility (10 days),Next 1 days,0.2425172800051847,2,10,1,Short,Short
169,Volatility (3 days),Volatility (10 days),Next 1 days,0.5006910615969149,3,10,1,Short,Short
170,Volatility (5 days),Volatility (10 days),Next 1 days,0.8388110108513054,5,10,1,Short,Short
171,Volatility (10 days),Volatility (10 days),Next 1 days,3.034981742106094,10,10,1,Short,Short
172,Volatility (21 days),Volatility (10 days),Next 1 days,1.4442874955621088,21,10,1,Long,Short
173,Volatility (63 days),Volatility (10 days),Next 1 days,1.2866547209514705,63,10,1,Long,Short
174,Volatility (126 days),Volatility (10 days),Next 1 days,1.2685340767068922,126,10,1,Long,Short
175,Volatility (252 days),Volatility (10 days),Next 1 days,1.2863995927159007,252,10,1,Long,Short
176,Volatility (2 days),Volatility (10 days),Next 3 days,0.23670111213643974,2,10,3,Short,Short
177,Volatility (3 days),Volatility (10 days),Next 3 days,0.4990850783979086,3,10,3,Short,Short
178,Volatility (5 days),Volatility (10 days),Next 3 days,0.8512407217841238,5,10,3,Short,Short
179,Volatility (10 days),Volatility (10 days),Next 3 days,1.109017566849242,10,10,3,Short,Short
180,Volatility (21 days),Volatility (10 days),Next 3 days,1.1490950102055209,21,10,3,Long,Short
181,Volatility (63 days),Volatility (10 days),Next 3 days,1.0683316842790713,63,10,3,Long,Short
182,Volatility (126 days),Volatility (10 days),Next 3 days,1.0833841269285092,126,10,3,Long,Short
183,Volatility (252 days),Volatility (10 days),Next 3 days,1.1241755914908929,252,10,3,Long,Short
184,Volatility (2 days),Volatility (10 days),Next 5 days,0.2393815506618031,2,10,5,Short,Short
185,Volatility (3 days),Volatility (10 days),Next 5 days,0.5068811337315653,3,10,5,Short,Short
186,Volatility (5 days),Volatility (10 days),Next 5 days,0.8528854290903389,5,10,5,Short,Short
187,Volatility (10 days),Volatility (10 days),Next 5 days,0.7755630886192204,10,10,5,Short,Short
188,Volatility (21 days),Volatility (10 days),Next 5 days,1.0625386137717907,21,10,5,Long,Short
189,Volatility (63 days),Volatility (10 days),Next 5 days,1.0415521994093195,63,10,5,Long,Short
190,Volatility (126 days),Volatility (10 days),Next 5 days,1.1229988378795746,126,10,5,Long,Short
191,Volatility (252 days),Volatility (10 days),Next 5 days,1.1705678335541805,252,10,5,Long,Short
192,Volatility (2 days),Volatility (10 days),Next 10 days,0.10563974552837596,2,10,10,Short,Short
193,Volatility (3 days),Volatility (10 days),Next 10 days,0.25190128921538335,3,10,10,Short,Short
194,Volatility (5 days),Volatility (10 days),Next 10 days,0.3014266923159443,5,10,10,Short,Short
195,Volatility (10 days),Volatility (10 days),Next 10 days,0.6634617850091482,10,10,10,Short,Short
