,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
90,Volatility (5 days),Volatility (3 days),Next 21 days,0.14289991413625902,5,3,21,Short,Short
91,Volatility (10 days),Volatility (3 days),Next 21 days,0.19452189178770052,10,3,21,Short,Short
92,Volatility (21 days),Volatility (3 days),Next 21 days,0.251109935914549,21,3,21,Long,Short
93,Volatility (63 days),Volatility (3 days),Next 21 days,0.31607491675451715,63,3,21,Long,Short
94,Volatility (126 days),Volatility (3 days),Next 21 days,0.2680216052764095,126,3,21,Long,Short
95,Volatility (252 days),Volatility (3 days),Next 21 days,0.28557473799540123,252,3,21,Long,Short
96,Volatility (2 days),Volatility (3 days),Next 63 days,0.04222974688756942,2,3,63,Short,Short
97,Volatility (3 days),Volatility (3 days),Next 63 days,0.09281220471637486,3,3,63,Short,Short
98,Volatility (5 days),Volatility (3 days),Next 63 days,0.10943225393636524,5,3,63,Short,Short
99,Volatility (10 days),Volatility (3 days),Next 63 days,0.16581500222732704,10,3,63,Short,Short
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.246290724677376,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.27357296726662295,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.2635211356091931,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.2884984420375112,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.01648573886765181,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.08198164458112966,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.08184964003203365,5,3,126,Short,Short
107,Volatility (10 days),Volatility (3 days),Next 126 days,0.14681802571004532,10,3,126,Short,Short
108,Volatility (21 days),Volatility (3 days),Next 126 days,0.2142961555648979,21,3,126,Long,Short
109,Volatility (63 days),Volatility (3 days),Next 126 days,0.23791742668874427,63,3,126,Long,Short
110,Volatility (126 days),Volatility (3 days),Next 126 days,0.26088443078980195,126,3,126,Long,Short
111,Volatility (252 days),Volatility (3 days),Next 126 days,0.2905473328197763,252,3,126,Long,Short
112,Volatility (2 days),Volatility (5 days),Next 1 days,0.3886204587470097,2,5,1,Short,Short
113,Volatility (3 days),Volatility (5 days),Next 1 days,0.8641624426572347,3,5,1,Short,Short
114,Volatility (5 days),Volatility (5 days),Next 1 days,1.0371645333622066,5,5,1,Short,Short
115,Volatility (10 days),Volatility (5 days),Next 1 days,0.6121216284495734,10,5,1,Short,Short
116,Volatility (21 days),Volatility (5 days),Next 1 days,0.5011160339295619,21,5,1,Long,Short
117,Volatility (63 days),Volatility (5 days),Next 1 days,0.4702711348447499,63,5,1,Long,Short
118,Volatility (126 days),Volatility (5 days),Next 1 days,0.43222297605447135,126,5,1,Long,Short
119,Volatility (252 days),Volatility (5 days),Next 1 days,0.3784462862461959,252,5,1,Long,Short
120,Volatility (2 days),Volatility (5 days),Next 3 days,0.37668847405188277,2,5,3,Short,Short
121,Volatility (3 days),Volatility (5 days),Next 3 days,0.33101145720464853,3,5,3,Short,Short
122,Volatility (5 days),Volatility (5 days),Next 3 days,0.3618686262649238,5,5,3,Short,Short
123,Volatility (10 days),Volatility (5 days),Next 3 days,0.43397330613977303,10,5,3,Short,Short
124,Volatility (21 days),Volatility (5 days),Next 3 days,0.4161910248873477,21,5,3,Long,Short
125,Volatility (63 days),Volatility (5 days),Next 3 days,0.40136129803428844,63,5,3,Long,Short
126,Volatility (126 days),Volatility (5 days),Next 3 days,0.41897152563754503,126,5,3,Long,Short
127,Volatility (252 days),Volatility (5 days),Next 3 days,0.374372401103062,252,5,3,Long,Short
128,Volatility (2 days),Volatility (5 days),Next 5 days,0.08343837024587941,2,5,5,Short,Short
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.16552233041696063,3,5,5,Short,Short
130,Volatility (5 days),Volatility (5 days),Next 5 days,0.2350198701661057,5,5,5,Short,Short
131,Volatility (10 days),Volatility (5 days),Next 5 days,0.3645085801128056,10,5,5,Short,Short
132,Volatility (21 days),Volatility (5 days),Next 5 days,0.44361730330315297,21,5,5,Long,Short
133,Volatility (63 days),Volatility (5 days),Next 5 days,0.41114898490521856,63,5,5,Long,Short
134,Volatility (126 days),Volatility (5 days),Next 5 days,0.4324253521875647,126,5,5,Long,Short
135,Volatility (252 days),Volatility (5 days),Next 5 days,0.4002475634682474,252,5,5,Long,Short
136,Volatility (2 days),Volatility (5 days),Next 10 days,0.04950507798889614,2,5,10,Short,Short
137,Volatility (3 days),Volatility (5 days),Next 10 days,0.15022448979687386,3,5,10,Short,Short
138,Volatility (5 days),Volatility (5 days),Next 10 days,0.21329686191014918,5,5,10,Short,Short
139,Volatility (10 days),Volatility (5 days),Next 10 days,0.3240028842130158,10,5,10,Short,Short
140,Volatility (21 days),Volatility (5 days),Next 10 days,0.355574635350842,21,5,10,Long,Short
141,Volatility (63 days),Volatility (5 days),Next 10 days,0.42068136690061664,63,5,10,Long,Short
142,Volatility (126 days),Volatility (5 days),Next 10 days,0.4038319248514881,126,5,10,Long,Short
143,Volatility (252 days),Volatility (5 days),Next 10 days,0.4059479247394462,252,5,10,Long,Short
144,Volatility (2 days),Volatility (5 days),Next 21 days,0.07890913751910844,2,5,21,Short,Short
145,Volatility (3 days),Volatility (5 days),Next 21 days,0.1333515194236119,3,5,21,Short,Short
146,Volatility (5 days),Volatility (5 days),Next 21 days,0.19385791412198827,5,5,21,Short,Short
147,Volatility (10 days),Volatility (5 days),Next 21 days,0.2638169745014567,10,5,21,Short,Short
148,Volatility (21 days),Volatility (5 days),Next 21 days,0.3382652266224655,21,5,21,Long,Short
149,Volatility (63 days),Volatility (5 days),Next 21 days,0.3947836091282957,63,5,21,Long,Short
150,Volatility (126 days),Volatility (5 days),Next 21 days,0.39073447087572344,126,5,21,Long,Short
151,Volatility (252 days),Volatility (5 days),Next 21 days,0.3718364352678094,252,5,21,Long,Short
152,Volatility (2 days),Volatility (5 days),Next 63 days,0.032650828912306196,2,5,63,Short,Short
153,Volatility (3 days),Volatility (5 days),Next 63 days,0.10229263178236891,3,5,63,Short,Short
154,Volatility (5 days),Volatility (5 days),Next 63 days,0.1714812025346104,5,5,63,Short,Short
155,Volatility (10 days),Volatility (5 days),Next 63 days,0.2515848911445646,10,5,63,Short,Short
156,Volatility (21 days),Volatility (5 days),Next 63 days,0.3230189809162729,21,5,63,Long,Short
157,Volatility (63 days),Volatility (5 days),Next 63 days,0.3665089268350581,63,5,63,Long,Short
158,Volatility (126 days),Volatility (5 days),Next 63 days,0.344908219637321,126,5,63,Long,Short
159,Volatility (252 days),Volatility (5 days),Next 63 days,0.36122696268068566,252,5,63,Long,Short
160,Volatility (2 days),Volatility (5 days),Next 126 days,0.028883482415279715,2,5,126,Short,Short
161,Volatility (3 days),Volatility (5 days),Next 126 days,0.09348637474034671,3,5,126,Short,Short
162,Volatility (5 days),Volatility (5 days),Next 126 days,0.1380714412294468,5,5,126,Short,Short
163,Volatility (10 days),Volatility (5 days),Next 126 days,0.20837113616743697,10,5,126,Short,Short
164,Volatility (21 days),Volatility (5 days),Next 126 days,0.2622696152534729,21,5,126,Long,Short
165,Volatility (63 days),Volatility (5 days),Next 126 days,0.2917752033269352,63,5,126,Long,Short
166,Volatility (126 days),Volatility (5 days),Next 126 days,0.31475512984843057,126,5,126,Long,Short
167,Volatility (252 days),Volatility (5 days),Next 126 days,0.31210318460896413,252,5,126,Long,Short
168,Volatility (2 days),Volatility (10 days),Next 1 days,0.2219479576332022,2,10,1,Short,Short
169,Volatility (3 days),Volatility (10 days),Next 1 days,0.4816611383656486,3,10,1,Short,Short
170,Volatility (5 days),Volatility (10 days),Next 1 days,0.8186894956635458,5,10,1,Short,Short
171,Volatility (10 days),Volatility (10 days),Next 1 days,2.699409086070086,10,10,1,Short,Short
172,Volatility (21 days),Volatility (10 days),Next 1 days,1.3848120908552022,21,10,1,Long,Short
173,Volatility (63 days),Volatility (10 days),Next 1 days,1.3362820064913365,63,10,1,Long,Short
174,Volatility (126 days),Volatility (10 days),Next 1 days,1.3487847281931393,126,10,1,Long,Short
175,Volatility (252 days),Volatility (10 days),Next 1 days,1.2984628966021345,252,10,1,Long,Short
176,Volatility (2 days),Volatility (10 days),Next 3 days,0.2073030446741031,2,10,3,Short,Short
177,Volatility (3 days),Volatility (10 days),Next 3 days,0.45790993474818276,3,10,3,Short,Short
178,Volatility (5 days),Volatility (10 days),Next 3 days,0.8355563363014005,5,10,3,Short,Short
179,Volatility (10 days),Volatility (10 days),Next 3 days,1.0899927116347197,10,10,3,Short,Short
180,Volatility (21 days),Volatility (10 days),Next 3 days,1.151036771024354,21,10,3,Long,Short
181,Volatility (63 days),Volatility (10 days),Next 3 days,1.1172355623894594,63,10,3,Long,Short
182,Volatility (126 days),Volatility (10 days),Next 3 days,1.1733583544672017,126,10,3,Long,Short
183,Volatility (252 days),Volatility (10 days),Next 3 days,1.2019873260631595,252,10,3,Long,Short
184,Volatility (2 days),Volatility (10 days),Next 5 days,0.21018787812816608,2,10,5,Short,Short
185,Volatility (3 days),Volatility (10 days),Next 5 days,0.474241204305641,3,10,5,Short,Short
186,Volatility (5 days),Volatility (10 days),Next 5 days,0.8293937834816099,5,10,5,Short,Short
187,Volatility (10 days),Volatility (10 days),Next 5 days,0.8135611843036186,10,10,5,Short,Short
188,Volatility (21 days),Volatility (10 days),Next 5 days,1.061711367524226,21,10,5,Long,Short
189,Volatility (63 days),Volatility (10 days),Next 5 days,1.1791759261476686,63,10,5,Long,Short
190,Volatility (126 days),Volatility (10 days),Next 5 days,1.1538486235473826,126,10,5,Long,Short
191,Volatility (252 days),Volatility (10 days),Next 5 days,1.163503213273457,252,10,5,Long,Short
192,Volatility (2 days),Volatility (10 days),Next 10 days,0.09539110189633426,2,10,10,Short,Short
193,Volatility (3 days),Volatility (10 days),Next 10 days,0.23088045066191398,3,10,10,Short,Short
194,Volatility (5 days),Volatility (10 days),Next 10 days,0.34655914738129123,5,10,10,Short,Short
195,Volatility (10 days),Volatility (10 days),Next 10 days,0.7665827662199929,10,10,10,Short,Short
196,Volatility (21 days),Volatility (10 days),Next 10 days,1.2911260369138366,21,10,10,Long,Short
197,Volatility (63 days),Volatility (10 days),Next 10 days,1.3755354803931468,63,10,10,Long,Short
