,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.11023387493777204,3,5,5,Short,Short
130,Volatility (5 days),Volatility (5 days),Next 5 days,0.1542051389990471,5,5,5,Short,Short
131,Volatility (10 days),Volatility (5 days),Next 5 days,0.2594871081200809,10,5,5,Short,Short
132,Volatility (21 days),Volatility (5 days),Next 5 days,0.3248138355106205,21,5,5,Long,Short
133,Volatility (63 days),Volatility (5 days),Next 5 days,0.31586675258851127,63,5,5,Long,Short
134,Volatility (126 days),Volatility (5 days),Next 5 days,0.31183490463123587,126,5,5,Long,Short
135,Volatility (252 days),Volatility (5 days),Next 5 days,0.283746135957732,252,5,5,Long,Short
136,Volatility (2 days),Volatility (5 days),Next 10 days,0.02019412327314729,2,5,10,Short,Short
137,Volatility (3 days),Volatility (5 days),Next 10 days,0.09890805112699042,3,5,10,Short,Short
138,Volatility (5 days),Volatility (5 days),Next 10 days,0.15172972660293205,5,5,10,Short,Short
139,Volatility (10 days),Volatility (5 days),Next 10 days,0.20851413149194098,10,5,10,Short,Short
140,Volatility (21 days),Volatility (5 days),Next 10 days,0.2824268746984524,21,5,10,Long,Short
141,Volatility (63 days),Volatility (5 days),Next 10 days,0.29934005010635545,63,5,10,Long,Short
142,Volatility (126 days),Volatility (5 days),Next 10 days,0.28337388491354876,126,5,10,Long,Short
143,Volatility (252 days),Volatility (5 days),Next 10 days,0.2816906369844103,252,5,10,Long,Short
144,Volatility (2 days),Volatility (5 days),Next 21 days,0.027540211732697273,2,5,21,Short,Short
145,Volatility (3 days),Volatility (5 days),Next 21 days,0.07865466699276258,3,5,21,Short,Short
146,Volatility (5 days),Volatility (5 days),Next 21 days,0.11117786697699472,5,5,21,Short,Short
147,Volatility (10 days),Volatility (5 days),Next 21 days,0.16877534751840884,10,5,21,Short,Short
148,Volatility (21 days),Volatility (5 days),Next 21 days,0.286935441943613,21,5,21,Long,Short
149,Volatility (63 days),Volatility (5 days),Next 21 days,0.24417526242521959,63,5,21,Long,Short
150,Volatility (126 days),Volatility (5 days),Next 21 days,0.25307527893847936,126,5,21,Long,Short
151,Volatility (252 days),Volatility (5 days),Next 21 days,0.2754537784779689,252,5,21,Long,Short
152,Volatility (2 days),Volatility (5 days),Next 63 days,0.020472539244548393,2,5,63,Short,Short
153,Volatility (3 days),Volatility (5 days),Next 63 days,0.05144565498973375,3,5,63,Short,Short
154,Volatility (5 days),Volatility (5 days),Next 63 days,0.08070278103669715,5,5,63,Short,Short
155,Volatility (10 days),Volatility (5 days),Next 63 days,0.1451040501645151,10,5,63,Short,Short
156,Volatility (21 days),Volatility (5 days),Next 63 days,0.21609288932988235,21,5,63,Long,Short
157,Volatility (63 days),Volatility (5 days),Next 63 days,0.24896823421862369,63,5,63,Long,Short
158,Volatility (126 days),Volatility (5 days),Next 63 days,0.2604983519272279,126,5,63,Long,Short
159,Volatility (252 days),Volatility (5 days),Next 63 days,0.25957183668613215,252,5,63,Long,Short
160,Volatility (2 days),Volatility (5 days),Next 126 days,0.00043905006260747115,2,5,126,Short,Short
161,Volatility (3 days),Volatility (5 days),Next 126 days,0.05382829521425414,3,5,126,Short,Short
162,Volatility (5 days),Volatility (5 days),Next 126 days,0.06348343193954964,5,5,126,Short,Short
163,Volatility (10 days),Volatility (5 days),Next 126 days,0.13779664164992944,10,5,126,Short,Short
164,Volatility (21 days),Volatility (5 days),Next 126 days,0.16234469146331865,21,5,126,Long,Short
165,Volatility (63 days),Volatility (5 days),Next 126 days,0.22726699396754846,63,5,126,Long,Short
166,Volatility (126 days),Volatility (5 days),Next 126 days,0.2563222748313789,126,5,126,Long,Short
167,Volatility (252 days),Volatility (5 days),Next 126 days,0.24933754831390775,252,5,126,Long,Short
168,Volatility (2 days),Volatility (10 days),Next 1 days,0.16166476621671055,2,10,1,Short,Short
169,Volatility (3 days),Volatility (10 days),Next 1 days,0.39723089712193094,3,10,1,Short,Short
170,Volatility (5 days),Volatility (10 days),Next 1 days,0.6977975157495955,5,10,1,Short,Short
171,Volatility (10 days),Volatility (10 days),Next 1 days,2.533560779042326,10,10,1,Short,Short
172,Volatility (21 days),Volatility (10 days),Next 1 days,1.2138160683014938,21,10,1,Long,Short
173,Volatility (63 days),Volatility (10 days),Next 1 days,1.0709833758108855,63,10,1,Long,Short
174,Volatility (126 days),Volatility (10 days),Next 1 days,1.1745169039072136,126,10,1,Long,Short
175,Volatility (252 days),Volatility (10 days),Next 1 days,1.0936376194535367,252,10,1,Long,Short
176,Volatility (2 days),Volatility (10 days),Next 3 days,0.15752673965215447,2,10,3,Short,Short
177,Volatility (3 days),Volatility (10 days),Next 3 days,0.40463314120612104,3,10,3,Short,Short
178,Volatility (5 days),Volatility (10 days),Next 3 days,0.7143503807708811,5,10,3,Short,Short
179,Volatility (10 days),Volatility (10 days),Next 3 days,0.9045747855370134,10,10,3,Short,Short
180,Volatility (21 days),Volatility (10 days),Next 3 days,0.9539841934247724,21,10,3,Long,Short
181,Volatility (63 days),Volatility (10 days),Next 3 days,0.950128415500135,63,10,3,Long,Short
182,Volatility (126 days),Volatility (10 days),Next 3 days,0.9928538849892625,126,10,3,Long,Short
183,Volatility (252 days),Volatility (10 days),Next 3 days,0.9704036262164335,252,10,3,Long,Short
184,Volatility (2 days),Volatility (10 days),Next 5 days,0.15938068852792853,2,10,5,Short,Short
185,Volatility (3 days),Volatility (10 days),Next 5 days,0.427740141293242,3,10,5,Short,Short
186,Volatility (5 days),Volatility (10 days),Next 5 days,0.738839715251622,5,10,5,Short,Short
187,Volatility (10 days),Volatility (10 days),Next 5 days,0.6738738535596989,10,10,5,Short,Short
188,Volatility (21 days),Volatility (10 days),Next 5 days,0.8842127754667226,21,10,5,Long,Short
189,Volatility (63 days),Volatility (10 days),Next 5 days,0.9303985986375407,63,10,5,Long,Short
190,Volatility (126 days),Volatility (10 days),Next 5 days,0.9323116559299613,126,10,5,Long,Short
191,Volatility (252 days),Volatility (10 days),Next 5 days,0.9487631836314527,252,10,5,Long,Short
192,Volatility (2 days),Volatility (10 days),Next 10 days,0.053601261125948874,2,10,10,Short,Short
193,Volatility (3 days),Volatility (10 days),Next 10 days,0.18232498367900085,3,10,10,Short,Short
194,Volatility (5 days),Volatility (10 days),Next 10 days,0.25933843246057364,5,10,10,Short,Short
195,Volatility (10 days),Volatility (10 days),Next 10 days,0.6057965273548502,10,10,10,Short,Short
196,Volatility (21 days),Volatility (10 days),Next 10 days,1.042641805356138,21,10,10,Long,Short
197,Volatility (63 days),Volatility (10 days),Next 10 days,1.1758113310698173,63,10,10,Long,Short
198,Volatility (126 days),Volatility (10 days),Next 10 days,1.2070713965104147,126,10,10,Long,Short
199,Volatility (252 days),Volatility (10 days),Next 10 days,1.194203793880677,252,10,10,Long,Short
200,Volatility (2 days),Volatility (10 days),Next 21 days,0.055057152465068704,2,10,21,Short,Short
201,Volatility (3 days),Volatility (10 days),Next 21 days,0.15096255234918932,3,10,21,Short,Short
202,Volatility (5 days),Volatility (10 days),Next 21 days,0.21031987537678365,5,10,21,Short,Short
203,Volatility (10 days),Volatility (10 days),Next 21 days,0.4492676024584714,10,10,21,Short,Short
204,Volatility (21 days),Volatility (10 days),Next 21 days,0.9005348130638797,21,10,21,Long,Short
205,Volatility (63 days),Volatility (10 days),Next 21 days,0.9635928289466928,63,10,21,Long,Short
206,Volatility (126 days),Volatility (10 days),Next 21 days,0.9987571049048327,126,10,21,Long,Short
207,Volatility (252 days),Volatility (10 days),Next 21 days,1.0320694367152283,252,10,21,Long,Short
208,Volatility (2 days),Volatility (10 days),Next 63 days,0.03926950939328755,2,10,63,Short,Short
209,Volatility (3 days),Volatility (10 days),Next 63 days,0.12453653882434423,3,10,63,Short,Short
210,Volatility (5 days),Volatility (10 days),Next 63 days,0.1695214778524532,5,10,63,Short,Short
211,Volatility (10 days),Volatility (10 days),Next 63 days,0.34988539620577974,10,10,63,Short,Short
212,Volatility (21 days),Volatility (10 days),Next 63 days,0.7292005635528271,21,10,63,Long,Short
213,Volatility (63 days),Volatility (10 days),Next 63 days,0.8876460138870739,63,10,63,Long,Short
214,Volatility (126 days),Volatility (10 days),Next 63 days,0.9367326864231202,126,10,63,Long,Short
215,Volatility (252 days),Volatility (10 days),Next 63 days,1.0222779550042906,252,10,63,Long,Short
216,Volatility (2 days),Volatility (10 days),Next 126 days,0.008919054440355012,2,10,126,Short,Short
217,Volatility (3 days),Volatility (10 days),Next 126 days,0.1179656589925866,3,10,126,Short,Short
218,Volatility (5 days),Volatility (10 days),Next 126 days,0.1139812662445765,5,10,126,Short,Short
219,Volatility (10 days),Volatility (10 days),Next 126 days,0.32651797142643435,10,10,126,Short,Short
220,Volatility (21 days),Volatility (10 days),Next 126 days,0.7056728523756881,21,10,126,Long,Short
221,Volatility (63 days),Volatility (10 days),Next 126 days,0.8634244447838872,63,10,126,Long,Short
222,Volatility (126 days),Volatility (10 days),Next 126 days,0.9232627666797066,126,10,126,Long,Short
223,Volatility (252 days),Volatility (10 days),Next 126 days,1.0379676960802957,252,10,126,Long,Short
224,Volatility (2 days),Volatility (21 days),Next 1 days,0.10879640570308169,2,21,1,Short,Long
225,Volatility (3 days),Volatility (21 days),Next 1 days,0.32414177224864726,3,21,1,Short,Long
226,Volatility (5 days),Volatility (21 days),Next 1 days,0.4661697004779928,5,21,1,Short,Long
227,Volatility (10 days),Volatility (21 days),Next 1 days,1.3939703038139069,10,21,1,Short,Long
228,Volatility (21 days),Volatility (21 days),Next 1 days,4.157403260850424,21,21,1,Long,Long
229,Volatility (63 days),Volatility (21 days),Next 1 days,2.734233285118545,63,21,1,Long,Long
230,Volatility (126 days),Volatility (21 days),Next 1 days,2.81587553098258,126,21,1,Long,Long
