,Volatility (Actual),Volatility (Future),Future Days,MI,VA,VF,FD,VA Kind,VF Kind
100,Volatility (21 days),Volatility (3 days),Next 63 days,0.20786175129760753,21,3,63,Long,Short
101,Volatility (63 days),Volatility (3 days),Next 63 days,0.25811151749167927,63,3,63,Long,Short
102,Volatility (126 days),Volatility (3 days),Next 63 days,0.2544253536225014,126,3,63,Long,Short
103,Volatility (252 days),Volatility (3 days),Next 63 days,0.2454977504845166,252,3,63,Long,Short
104,Volatility (2 days),Volatility (3 days),Next 126 days,0.007582450459699075,2,3,126,Short,Short
105,Volatility (3 days),Volatility (3 days),Next 126 days,0.06361379323326322,3,3,126,Short,Short
106,Volatility (5 days),Volatility (3 days),Next 126 days,0.04710920049237366,5,3,126,Short,Short
107,Volatility (10 days),Volatility (3 days),Next 126 days,0.11439254789375752,10,3,126,Short,Short
108,Volatility (21 days),Volatility (3 days),Next 126 days,0.20466016130772946,21,3,126,Long,Short
109,Volatility (63 days),Volatility (3 days),Next 126 days,0.23399465134338904,63,3,126,Long,Short
110,Volatility (126 days),Volatility (3 days),Next 126 days,0.26130018945546674,126,3,126,Long,Short
111,Volatility (252 days),Volatility (3 days),Next 126 days,0.2518486255075505,252,3,126,Long,Short
112,Volatility (2 days),Volatility (5 days),Next 1 days,0.36563355501362693,2,5,1,Short,Short
113,Volatility (3 days),Volatility (5 days),Next 1 days,0.8332308051533053,3,5,1,Short,Short
114,Volatility (5 days),Volatility (5 days),Next 1 days,0.9866992555937228,5,5,1,Short,Short
115,Volatility (10 days),Volatility (5 days),Next 1 days,0.5303753452998237,10,5,1,Short,Short
116,Volatility (21 days),Volatility (5 days),Next 1 days,0.44299011698474633,21,5,1,Long,Short
117,Volatility (63 days),Volatility (5 days),Next 1 days,0.38727125398232154,63,5,1,Long,Short
118,Volatility (126 days),Volatility (5 days),Next 1 days,0.3616622788055164,126,5,1,Long,Short
119,Volatility (252 days),Volatility (5 days),Next 1 days,0.3258549389518839,252,5,1,Long,Short
120,Volatility (2 days),Volatility (5 days),Next 3 days,0.350309021003425,2,5,3,Short,Short
121,Volatility (3 days),Volatility (5 days),Next 3 days,0.3067343001255596,3,5,3,Short,Short
122,Volatility (5 days),Volatility (5 days),Next 3 days,0.3029732026307901,5,5,3,Short,Short
123,Volatility (10 days),Volatility (5 days),Next 3 days,0.3399791012577591,10,5,3,Short,Short
124,Volatility (21 days),Volatility (5 days),Next 3 days,0.39189374678985534,21,5,3,Long,Short
125,Volatility (63 days),Volatility (5 days),Next 3 days,0.35986851281157506,63,5,3,Long,Short
126,Volatility (126 days),Volatility (5 days),Next 3 days,0.345450865483766,126,5,3,Long,Short
127,Volatility (252 days),Volatility (5 days),Next 3 days,0.29200909606791736,252,5,3,Long,Short
128,Volatility (2 days),Volatility (5 days),Next 5 days,0.059783330966641124,2,5,5,Short,Short
129,Volatility (3 days),Volatility (5 days),Next 5 days,0.1494195245069312,3,5,5,Short,Short
